Startup Name,STARTMunich Member,Member Linkedin,Profil Pic,Short Description,Description Long,Chategory ,Company Website,Company Logo,Founding Year,Company Role,Supporting Programs,Already Investment?,Last investment round,Investment Size €,First milestones,Company Linkedin
MOMENTO,Filippo Heller,https://de.linkedin.com/in/filippo-heller-65211515b,https://media.licdn.com/dms/image/v2/D4D03AQGENlRBPkVUFA/profile-displayphoto-crop_800_800/B4DZf2OKqLGkAI-/0/1752182598850?e=1762387200&v=beta&t=c48OZ3614QZlKgHMUG4iBdMfhdRZ4ov0Ue5E_VJLVYQ,Italian Food - catering & (hopefully soon) store,-,,https://www.linkedin.com/company/momento-italian-way-of-life/,https://media.licdn.com/dms/image/v2/D4D0BAQHB2dnRyA57TQ/company-logo_200_200/B4DZf2P79uGgAQ-/0/1752183062836?e=1762387200&v=beta&t=cY2QnT6Uo6f-0lXDrA9aP0DRQ97YTEQwsGVLW60KAFM,2024,Founder,,No,,,"profitability on day 1
5-figure revenue in first operative month",https://www.linkedin.com/company/momentovita/
ELIVA,Finn Kesper,https://de.linkedin.com/in/finnkesper,https://media.licdn.com/dms/image/v2/C4E03AQGjlN0lVp-S0w/profile-displayphoto-shrink_800_800/profile-displayphoto-shrink_800_800/0/1553086747294?e=1762387200&v=beta&t=03vibcmOemMnWsXZSYg-81xdTSSks-LKa4h6ktdWAxE,Product Consulting for E-Commerce Websites,Eliva AI is an AI chatbot that provides customer service and product consultancy. It helps customers with personalized recommendations and support throughout their shopping experience.,"SaaS, AI, Ecommerce",eliva.ai,https://www.eliva.ai/assets/logo-white.png,2025,CEO,TUM Venture Labs,No,Other,,MVP,
Moon Home,Finn Kesper,https://de.linkedin.com/in/finnkesper,https://media.licdn.com/dms/image/v2/C4E03AQGjlN0lVp-S0w/profile-displayphoto-shrink_800_800/profile-displayphoto-shrink_800_800/0/1553086747294?e=1762387200&v=beta&t=03vibcmOemMnWsXZSYg-81xdTSSks-LKa4h6ktdWAxE,Webshop (Kitchen Products),Moon Home is an online shop specializing in the sale of sustainable and fairly produces products for the kitchen and home.,web shop,moon-home.de,https://moon-home.de/cdn/shop/files/Moon-Logo.jpg?v=1727103048&width=180,2024,CEO,,No,,,Shop Launch planned for 1st March 2025,
Productlane,Raphael Fleckenstein,https://de.linkedin.com/in/raphaelfleckenstein,https://media.licdn.com/dms/image/v2/D4D03AQE8AQCi4bbkZQ/profile-displayphoto-shrink_800_800/B4DZOYnA8KHgAc-/0/1733432185708?e=1762387200&v=beta&t=3YvHXH3sM48yhdy4eBFxU4UgjkD9K-etAEFJmCKlcgE,Customer Support for modern companies,"Productlane is a B2B customer support and feedback system deeply integrated with Linear. It consolidates all customer communications (email, chat, Slack) into a single inbox, automatically links feedback to development tickets for prioritization, and provides a unified portal, knowledge base, and Changelog to enhance the customer experience.","SaaS, Customer Support, Product Management",productlane.com,https://www.insightplatforms.com/wp-content/uploads/2024/02/Productlane-Logo-Square-Insight-Platforms.png,2023,Founder,"START Munich, Werk 1",Yes,Pre-Seed,"€775,000.00","Almost profitable, very good growing MRR",
OneTutor,Jann Winter,https://www.linkedin.com/in/jannwinter/,https://media.licdn.com/dms/image/v2/D4E03AQEwNm-tk1iP9A/profile-displayphoto-shrink_800_800/B4EZgX0dsLHoAc-/0/1752746286448?e=1762387200&v=beta&t=ClSOBkBdH2ZdoWr6jWUs3FLTYrWnfmNd1sxsR5zUzhI,Intelligent Tutoring System for Universities,"OneTutor is an AI-powered educational platform that acts as a personalized tutor for university students and educators. It focuses on active learning, offering course-specific materials, interactive quizzes, and a 24/7 available AI chat for instant answers, all tailored to the content of a student's course. The service is often available for free to students and faculty through campus licenses with partner universities.","EdTech, AI, SaaS",https://onetutor.ai/,https://onetutor.ai/onetutor.svg,2025,"Co-Founder, CRO",,No,,,"2,5k users",
Datagon AI,Fabian Gruber,https://www.linkedin.com/in/fabian-gruber-333897153/,https://media.licdn.com/dms/image/v2/D4E03AQH2vY8--zW69g/profile-displayphoto-shrink_800_800/B4EZdADGeZHIAk-/0/1749126244973?e=1762387200&v=beta&t=D964IE24LPGKN7iCPBOTJpRD3HGzvetLvCrzofWqh-I,Optimize industrial production processes ,"Manex AI, provides AI-powered ""Manufacturing Optimization Agents"" (like Qualitatio) for the industrial sector. The solution steers production processes end-to-end, helping manufacturers predict defects, reduce testing, and lower warranty costs by providing deep, real-time insights into the entire production line.","AI, SaaS, Manufacturing",datagon.ai,https://cdn.prod.website-files.com/67a23f0101102488e87e1340/6819df1622bdca6d479a1139_Logo%20White.png,2023,"CPO, Co-Founder","Nvidia, Amazon, Microsoft Accelerators, Several UTUM, and EXIST",Yes,Pre-Seed,"€500,000.00",First licenses,
wahl.chat,Robin Frasch,https://www.linkedin.com/in/robin-frasch/,https://media.licdn.com/dms/image/v2/D4D03AQGXuWyjAXx3vw/profile-displayphoto-shrink_800_800/B4DZR_tp8jHcAc-/0/1737309463256?e=1762387200&v=beta&t=PwYnxlRWaV5bYhWW0y7I4LHUH1FJDel59T9GEeALj1A,Making political information accessible ,"ahl.chat is a political education and comparison tool that uses an interactive AI chatbot to help users understand politics. Users can select one or more political parties and ask the AI questions about their stances and programs. The service also includes a ""Wahl Swiper"" to help users find a suitable party, effectively making political information interactive and accessible.","GoV-Tech, EdTech, AI, Civic Tech, nonprofit",https://wahl.chat/,https://wahl.chat/images/logo.webp,2025,Co-Founder,,No,,,"150.000 active Users in just over a month 
>1.000.000 page views",
AR-Physics,Jost Reelsen,https://www.linkedin.com/in/jost-reelsen-615ba2297/,https://media.licdn.com/dms/image/v2/D5603AQHk9IIb0GK8Ow/profile-displayphoto-shrink_800_800/B56ZOOrvv_GwAg-/0/1733265653329?e=1762387200&v=beta&t=jmPMhxNaD26KGg0-iPzDwGd638APM52TG4-bX_Y6jsY,"AR-Physics is an app that uses Augmented Reality to simulate physics experiments. It allows high school and university students to explore complex physics concepts interactively, making physics more accessible for education.","AR-Physics is an EdTech startup that provides a mobile application to revolutionize science learning. The app uses Augmented Reality (AR) to visualize complex physics concepts and experiments in a user's real environment. It also offers interactive, gamified quizzes and an AI-powered system to generate custom learning content across various scientific disciplines.","EdTec, SaaS, Augmented Reality (AR) ",https://arphysics.de/,https://is1-ssl.mzstatic.com/image/thumb/Purple211/v4/83/18/a5/8318a5ce-883a-5b5f-0ffd-ed79e5e8fb88/AppIcon-0-0-1x_U007epad-0-1-0-85-220.jpeg/1200x600wa.png,2024,"CEO, Co-Founder",Garage33 (Startup Center of the University of Paderborn),No,,,"- Winner of Startup Teens Westfalen Challenge 2024
- Winner of Startup Teens National Challenge 2024, Education
- Gründungsstipendium NRW",
Not Today gUG,Janik Prottung,https://www.linkedin.com/in/janikprottung/,https://media.licdn.com/dms/image/v2/D4E03AQGlfBQbwMO-uA/profile-displayphoto-shrink_800_800/profile-displayphoto-shrink_800_800/0/1702291027597?e=1762387200&v=beta&t=gfyPBofkZ3v5pYth-ksu2m0IIYS8IQMVJFuI-mdHYek,Non-Profit to row across the Atlantic ,"Not Today Row is expedition consisting of two friends, Janik and Danny, who rowed 3,000 miles across the Atlantic Ocean to raise awareness and money for children's education. They support two specific charities: Ozeankind e.V. (focused on plastic pollution education) and the Bali Children's Project (focused on education for children in need).","Charity, nonprofit",https://nottodayrow.com,https://nottodayrow.com/wp-content/uploads/2021/07/2021_NotToday_Logo_black_Main.png,2021,"Founder, CEO",,No,,,Funded Journey with 200k budget. Crossed Atlantic in rowing boat. Raised 4K for charity,
floxform,Philipp Hirte,,,We enable Mass Customization in Additive Manufacturing,,,floxform.com,,2020,"CEO, Founder","TUM Venture Labs, TUM Gründungsberatung",No,,,"2020 - idea and proof of concept
2021 - 2023 - building the software
2024 - started to get into the market",
